,% Inhibitor,% Promoter,Total Sentences Found
et-1,0.7578290513509487,0.24217093100571005,34
oxpc,0.9986447691917419,0.0013551930896937847,2
cont,0.13676634434589438,0.8632336629432923,11
gap-43,0.5361784790207065,0.4638215166842099,356
ng66r,0.9998490810394287,0.00015095050912350416,1
p-stat3 tyr,0.6603914651166026,0.3396085409816199,15
pdpk1/2,0.9994655251502991,0.0005344451637938619,1
cdna,0.4332381298763782,0.5667618716359467,149
hoxa-10,0.5832808017730713,0.4167192280292511,1
ca,0.28793049000262705,0.7120695128316639,131
rgma,0.659663145840168,0.3403368553270896,75
acpase,0.15609651399427094,0.8439034981032213,6
mda,0.7947827389463782,0.20521725803846494,5
rgm,0.6010609885677696,0.398939039799734,5
netrin,0.084722964532445,0.915277039510189,26
rtk,0.10626548528671265,0.8937345147132874,1
dii,0.06441131015233095,0.9355886827162918,62
mlc,0.2907566689527812,0.7092433219622762,16
trkb,0.7534531547374854,0.2465468418532737,128
nimp,0.41228891234992,0.5877110870301944,112
phospho- gap43,0.0007499211351387203,0.9992499947547913,1
pha-l,0.9210477471351624,0.07895226110122167,4
syn,0.6506119550277407,0.3493880457838084,13
t-gsk,0.9996259212493896,0.00037404923932626843,1
hap,0.0014786605897825211,0.9985213279724121,2
ifnγ,0.4544499106705189,0.5455500902142376,5
trks,0.4499752169985396,0.5500247825190084,13
tap,0.10427486381974095,0.8957251398167454,39
map2a+,0.16472687368877814,0.8352731615304947,4
cs-pgs,0.56050226497053,0.43949774254746016,34
rheb1,0.999868631362915,0.00013139238581061363,1
rhnt-3,0.9501219987869263,0.049878060817718506,1
pde4,0.6814520185192426,0.3185479886063452,3
xt-1,0.009068169631063938,0.9909318685531616,1
ap,0.20034255156780617,0.7996574515084687,95
hb-egf igf-1,0.0002790325233945623,0.999720960855484,2
tnf-α,0.33335433139291126,0.6666456425510761,18
af-1,0.6685631960216496,0.3314367873940177,9
tr,0.38883677333970335,0.6111632153714752,21
pdi,0.500669447472319,0.4993305403768318,2
sema,0.8009097072994337,0.199090290699678,10
gag,0.4324055585665353,0.5675944419665655,93
biop2,0.9993626475334167,0.000637324177660048,1
ifn-g,0.8330618043740591,0.16693821167185283,6
pge2,0.0006905043264850974,0.9993095397949219,1
ptpσ,0.7090884527410268,0.2909115469400046,62
mapk1,0.0002622133179102093,0.9997377991676331,1
cs-e,0.6532452329993248,0.34675475079469226,6
p-fak,0.6243142485877292,0.37568575241635294,9
kinases,0.6595920639360106,0.34040793813691633,111
nf-b,0.9871633052825928,0.012836704961955547,1
ac,0.10340691289457027,0.8965930892255806,92
fgf-2,0.00027140483688634906,0.9997285953702381,227
dopac,0.037191053153946996,0.9628089666366577,2
sema3a,0.638097160576035,0.36190283507803545,240
igf1r,0.10868461480144602,0.8913153992457823,22
tcep,0.5029141715370186,0.4970858368656731,14
naa,0.6821231587916069,0.3178768164410333,6
rbpms,0.0023609811576438674,0.9976390192383214,19
csl,0.08953296696435085,0.910467024659738,17
gaps,0.31205206625807996,0.6879479378398433,56
p5,0.3296996638185293,0.6703003254182275,45
klfs,0.2748861550547493,0.725113841278168,12
acan,0.8874273152873179,0.11257268609511407,18
gapdh,0.26047906100939144,0.7395209339435193,24
rptp,0.4520504293420042,0.5479495777059734,6
vglut2,0.0001974860642803833,0.9998025298118591,1
map,0.08723526722867973,0.912764731956122,150
wasp,0.33301414786061895,0.6669858110447725,3
prx,0.9952847361564636,0.004715226590633392,1
tubulin,0.39585182210581343,0.6041481837155738,164
anti-gfp,0.07814710921853216,0.9218528946262917,14
ii,0.4462828263008158,0.5537171732026175,525
hb-gam,0.211113389271001,0.7888865967591604,3
cd13-pc7,0.00037332961801439524,0.999626636505127,1
ptges,0.00025913750869221985,0.9997408986091614,1
rtks,0.9998027682304382,0.00019728488405235112,1
ryk,0.5150716725681712,0.48492832627610033,19
sf,0.2501528792210661,0.7498471136863853,53
pla,0.20130267560373546,0.7986973456460295,22
rmg,0.0010250868508592248,0.9989749193191528,1
pmek1/2,0.9960764050483704,0.003923555937944911,2
jak2,0.3250124530750327,0.6749875247478485,2
ntf,0.8532913317903876,0.14670867632958107,8
rmag,0.8421900868415833,0.15780995786190033,1
pam,0.28809249983504953,0.7119075048070115,13
p75ntr,0.8188937820554913,0.18110620931332486,69
hes-1,0.5005922024720348,0.49940778661402874,2
vcam-1,0.30983901208881953,0.6901609887551915,7
timp-1,0.67127455342561,0.3287254735827446,5
tnfsf,0.1159048862722961,0.884095113310549,9
cnp,0.48041016515552265,0.5195898471851944,21
gap43,0.3051014133202641,0.694898585813686,138
cams,0.42652382320051807,0.5734761787505165,27
tn-c,0.733795819231697,0.2662041976485246,6
gpcrs,0.9279349446296692,0.0720650777220726,1
oxldl,0.0006494660046882927,0.9993504881858826,2
am-9,0.0005871843895874918,0.9994127750396729,1
neo,0.1628574504502467,0.8371425579049779,12
fbn,0.9981697797775269,0.0018302113021491095,2
gcv,0.1541260004742071,0.8458740293979645,5
rhoa,0.9352516344063192,0.06474836432435274,156
ldlr,0.9917324781417847,0.008267471566796303,1
fluc,0.1670347088656854,0.8329652985460901,6
nos,0.24747950189443405,0.7525204964040313,14
mebr,0.41741493624431314,0.582585067738061,12
bbb,0.13877924798448693,0.8612207535645992,168
egfp+,0.029216290361849435,0.9707837079509368,36
fn,0.9987432360649109,0.0012567369267344475,1
tnf,0.516732860857571,0.48326714200759724,28
gfap,0.04658180839625245,0.9534181861947277,339
sema6a,0.8751998418863097,0.1248001684206039,14
mkp-l,0.998362123966217,0.001637911656871438,1
il-1β,0.47098511471413074,0.5290148971122107,10
mops,0.18068890369613655,0.8193110674619675,4
rockii,0.9987204074859619,0.001279565622098744,2
nbt,0.4523807999503333,0.5476192645728588,2
p- erk,0.9868480563163757,0.013151944614946842,1
inpp5f,0.447413478019604,0.5525865261138861,78
s1pr2,0.9985549070618369,0.0014450948166830296,11
pll,0.23844102232889722,0.7615589723225697,31
odn,0.5649699863861315,0.43503000556180876,3
ptp delta,0.9998654127120972,0.0001345678756479174,1
psn,0.501001106557067,0.4989988908115453,29
il,0.10905674058602399,0.8909432562578699,114
tnf-a,0.3458723307024532,0.6541276608008452,18
laminin-1,0.0003359266702318564,0.9996641278266907,2
ppp,0.1394407750794926,0.8605592175736092,8
fabp,0.4832864913427498,0.5167135149108512,43
pakt,0.47784266610688064,0.5221573244507454,8
vcan,0.7845827100682072,0.2154173180564872,7
shsocs3,0.5610775020322762,0.43892249278724194,16
aav2–gfp,0.0008638309823471077,0.9991361669131688,21
p-gsk,0.9242277996880668,0.07577221635645921,7
hsp90,0.46811259872811206,0.531887389419353,8
kab-raf,0.6199135516983613,0.3800864503107732,30
fbs,0.002086376901489631,0.9979136255052354,18
pgipz,0.5018382930817703,0.4981617035664385,6
hmg-coa,0.9995541870594025,0.00044580768735613674,2
t-akt,0.9868480563163757,0.013151944614946842,1
mdgi,0.9998708963394165,0.00012910693476442248,1
ct-1,0.6022562430647668,0.39774376047571425,10
plp-1,0.9998021721839905,0.00019787493511103094,1
tzds,0.9995916485786438,0.0004083254316356033,1
dapi,0.14417501400289198,0.8558249923741658,114
pk,0.544119177153334,0.45588083340771846,8
syti,0.001275069439240421,0.9987249175707499,3
hrp,0.11621911123345074,0.8837808905621171,105
ccl17,0.33466973900794983,0.6653302657262733,3
lar,0.6268380928304396,0.37316190728948534,340
tlr2,0.6537285123486072,0.3462715327429275,3
p5klf6,0.08151239220872715,0.918487605638802,12
gap,0.201399460981582,0.798600540276878,337
mycert,0.00023182340373750776,0.9997681975364685,1
sod-1,0.9979820251464844,0.002017953433096409,1
ad-nt-3,0.8419821461041769,0.1580178175936453,3
apv,0.5024152409750968,0.49758478011062834,2
mptp,0.9095664223035177,0.09043356956681237,3
jak,0.9838213324546814,0.016178682761771295,6
hdac6,0.8421302239100138,0.1578697788839539,3
fsk,0.1470191546017304,0.8529808521270752,5
imp,0.23098593942753118,0.7690140555302302,6
nt3,0.8232923922125496,0.17670761092054105,92
gpi- linked protein,0.9996238946914673,0.0003760374675039202,1
nogo,0.989023893560115,0.010976102689410062,427
gtp,0.6669073135902485,0.3330926780763548,6
aps,0.3411588408863192,0.658841158641345,4513
nim,0.9586448073387146,0.041355181485414505,1
doc,0.2136257680200894,0.7863742239618053,6
tpa,0.7452628531027585,0.254737174444017,4
dspgs,0.7246890664100647,0.2753109075711109,2
at2,0.824106526690836,0.1758934775106253,144
prg5,0.001750489231199026,0.9982494711875916,1
vglut1,0.5059973602183163,0.49400265293661505,2
cgns,0.5407278804770229,0.459272114874789,19
atra,0.20784564316272736,0.7921543717384338,1
biorp,0.9820640087127686,0.01793598291988019,2
gags,0.45349842339288443,0.5465015794802457,25
fgf,0.0003509540590465277,0.9996490486358341,152
stat,0.386773111668881,0.6132268754224061,25
hrg,0.00045694131404161453,0.9995430509249369,3
bmps,0.4638456284322144,0.5361543710231282,14
vim,0.4250849882135464,0.5749150101857429,11
oncomodulin,0.1661229950542819,0.8338770127830732,19
bzip,0.41402862766491516,0.5859713538021813,7
gsk3beta,0.49479212930600625,0.5052078787666687,4
dnmts,0.9944835305213928,0.005516496952623129,1
gal-1,0.1606905156686326,0.8393094847618822,118
vegf,0.12179068466762796,0.8782093031331897,28
akt,0.721896471061948,0.2781035247536383,69
tsa,0.7217967041215161,0.2782033173025411,8
id2,0.5930194390741896,0.40698055633401964,22
lngfr,0.5023846693802625,0.4976153609532048,2
yfp,0.0982211228882079,0.9017788780542711,30
dex,0.21766154623473993,0.7823384191258811,5
tgf,0.005224650015103786,0.9947753647963206,6
ngf,0.4443403649594124,0.5556596333141134,474
il-1b,0.2553456444661909,0.7446543523731332,15
lhrh,0.21431075477739797,0.7856892362236977,5
peg,0.18354606030031087,0.8164539429484042,24
cox-2,0.9948307673136393,0.005169258763392766,3
ln,0.2610009830765193,0.7389990344643593,10
il1rn,0.9968090653419495,0.0031909418758004904,1
plp,0.5604909156659333,0.439509089515842,45
tgf-ß,0.16037333469527462,0.8396266500155131,3
ngr3,0.9315626055800489,0.06843738152513522,28
nogo-a,0.9341983397788002,0.06580165501763456,481
bpv,0.8332749214023352,0.16672508509509498,6
elam-1,0.9987770617008209,0.0012229401909280568,2
cpe,0.23233837285079062,0.7676616396056488,7
mbcd,0.29592793920274935,0.7040720544155743,33
bfgf,0.0865485234056688,0.9134514792527259,218
aav gfp,0.009085617028176785,0.9909144639968872,1
ngr,0.97422027180437,0.025779719362972395,164
erk,0.4100338025265514,0.589966196059267,33
egta,0.14381786990686254,0.8561821417783254,7
cs-pg,0.639271873108685,0.3607281189781913,14
zfp191,0.004383515100926161,0.9956165552139282,1
mais,0.06025117884970224,0.9397488231541681,61
taxol,0.21523706035275775,0.7847629482434555,11
hspgs,0.4110998744436074,0.5889001402454022,19
ngfr,0.3031092011515284,0.6968907956664528,12
hmgb1,0.4645292477883534,0.5354707694047344,24
adam,0.9550382256507873,0.044961776927812024,5
myt-1,0.38878539204597473,0.6112145781517029,1
abl,0.6670166776360323,0.33298330048758845,3
parv,0.2676837300574074,0.7323162817670631,21
mscs,0.16115864277549008,0.8388413556216013,192
ach3,0.9997000694274902,0.00029992585768923163,1
mr,0.3554762747695349,0.6445237303150861,80
mt-mmps,0.6878812611103058,0.31211870664265007,2
hoxa-3,0.5832808017730713,0.4167192280292511,1
praptor,0.0009965381905203685,0.9990034699440002,2
grap,0.00035398939508013427,0.9996459484100342,1
carp,0.3334272985294875,0.66657271322846,9
ncam,0.5943759332060128,0.4056240648141183,72
mcp-1,0.6127313230826985,0.3872686753955869,14
tgf-b,0.3507782777014654,0.6492217257702058,7
sac,0.1897914237974328,0.8102085728441792,150
hsp70,0.3346627737356805,0.6653372274230429,67
vldls,0.8937405943870544,0.10625943541526794,1
osm,0.36319291833197687,0.6368070811770079,520
aqp9,0.0023536495864391327,0.9976463913917542,1
hsp,0.39884367071707466,0.6011563115503772,7
ankrd1,0.999631404876709,0.0003685659321490675,1
mmp,0.7815456638604196,0.2184543252919361,9
nadph,0.2729603885400138,0.7270395946834469,8
dbi,0.5385938286781311,0.4614061140891863,2
troy,0.628193516046546,0.37180646672883694,6
